state_id,state_name,district_id,district_name,year,total_area_ha,net_sown_ha,current_fallow_ha,forest_ha,urban_builtup_ha,govt_land_bank_ha,water_bodies_ha,disputed_ha,cadastral_vector_pct,dispute_index
all_india,All India,all,All India,2005-06,328726300,118998920,48651492,67717617,21367209,38460977,17422493,16107592,12.4,100.0
all_india,All India,all,All India,2007-08,328726300,119985100,46679134,68375070,22682114,36488619,16765041,17741222,14.8,96.5
all_india,All India,all,All India,2009-10,328726300,136092688,46679134,68703796,23997020,33201356,16107588,3944718,16.2,93.4
all_india,All India,all,All India,2011-12,328726300,130833067,46021682,69032523,24983198,31228998,15450136,11176696,17.1,88.2
all_india,All India,all,All India,2013-14,328726300,137736319,47994039,69722848,25311925,29914093,15121409,8925667,18.2,84.1
all_india,All India,all,All India,2015-16,328726300,167650413,24983198,70149909,25969377,28270461,14792683,16890259,32.4,78.5
all_india,All India,all,All India,2017-18,328726300,162390792,29256640,70807362,26298104,26955556,14792683,18225163,47.9,72.1
all_india,All India,all,All India,2019-20,328726300,168307865,26626830,71234424,26626830,26298104,14792683,14840564,61.1,68.4
all_india,All India,all,All India,2021-22,328726300,174224939,25640651,71365879,26955556,25969377,14762683,9807215,71.0,64.2
all_india,All India,all,All India,2023-24,328726300,178498380,24983198,71365879,26955556,25640651,14762683,11505370,76.5,61.6
punjab,Punjab,all,Punjab,2005-06,5036200,4089394,115832,183821,372678,57916,50362,166197,11.2,100.0
punjab,Punjab,all,Punjab,2008-09,5036200,4104503,110796,183821,372678,55398,50362,158642,15.6,94.5
punjab,Punjab,all,Punjab,2011-12,5036200,4119611,105760,183821,372678,55398,50362,148570,22.4,89.1
punjab,Punjab,all,Punjab,2014-15,5036200,4129684,95687,183821,372678,55398,50362,148570,31.0,81.4
punjab,Punjab,all,Punjab,2017-18,5036200,4144792,85615,183821,372678,55398,50362,143534,42.8,74.2
punjab,Punjab,all,Punjab,2020-21,5036200,4154865,65470,183821,372678,55398,50362,153606,51.5,68.9
punjab,Punjab,all,Punjab,2023-24,5036200,4159899,57916,183821,372678,57916,50362,211520,58.4,61.6
tamil_nadu,Tamil Nadu,all,Tamil Nadu,2005-06,13006000,4552100,1924888,2639998,1820840,1170540,754348,143286,24.2,100.0
tamil_nadu,Tamil Nadu,all,Tamil Nadu,2008-09,13006000,4747190,1872864,2639998,1872864,1144528,754348,174208,38.6,91.2
tamil_nadu,Tamil Nadu,all,Tamil Nadu,2011-12,13006000,5176388,1820840,2639998,1924888,1118516,754348,171022,54.1,82.4
tamil_nadu,Tamil Nadu,all,Tamil Nadu,2014-15,13006000,4955286,1924888,2639998,1976912,1092504,754348,162064,68.4,74.5
tamil_nadu,Tamil Nadu,all,Tamil Nadu,2017-18,13006000,6424964,1157534,2639998,2002924,1066492,754348,160040,79.2,65.8
tamil_nadu,Tamil Nadu,all,Tamil Nadu,2020-21,13006000,6659072,1053486,2639998,2002924,1066492,754348,129680,86.5,58.2
tamil_nadu,Tamil Nadu,all,Tamil Nadu,2023-24,13006000,6268892,988456,2639998,2002924,1066492,754348,273890,91.2,52.1
maharashtra,Maharashtra,all,Maharashtra,2005-06,30771300,16001076,3723327,5077264,3077130,3077130,1138538,676835,18.4,100.0
maharashtra,Maharashtra,all,Maharashtra,2011-12,30771300,16616502,3384843,5077264,3230986,2984816,1138538,638351,41.2,85.6
maharashtra,Maharashtra,all,Maharashtra,2017-18,30771300,17231928,3077130,5077264,3384843,2892502,1138538,769295,65.8,71.2
maharashtra,Maharashtra,all,Maharashtra,2023-24,30771300,17478098,2892502,5077264,3446385,2892502,1138538,738511,84.1,59.4
rajasthan,Rajasthan,all,Rajasthan,2005-06,34223900,15742994,9582692,3285494,1711195,8555975,2361449,1284501,12.1,100.0
rajasthan,Rajasthan,all,Rajasthan,2011-12,34223900,16427472,8898214,3285494,1745418,8213736,2361449,1292117,32.4,86.4
rajasthan,Rajasthan,all,Rajasthan,2017-18,34223900,17111950,8213736,3285494,1779642,7871497,2361449,1300032,54.8,73.1
rajasthan,Rajasthan,all,Rajasthan,2023-24,34223900,17830651,7666153,3285494,1779642,7666153,2361449,1300032,71.4,63.5
uttar_pradesh,Uttar Pradesh,all,Uttar Pradesh,2005-06,24092800,15660320,2216537,1469660,2409280,1686496,1252825,797682,14.6,100.0
uttar_pradesh,Uttar Pradesh,all,Uttar Pradesh,2014-15,24092800,16142176,1806960,1469660,2529744,1614217,1252825,777218,48.2,79.5
uttar_pradesh,Uttar Pradesh,all,Uttar Pradesh,2023-24,24092800,16479475,1566032,1469660,2601622,1566032,1252825,722754,78.3,64.2
gujarat,Gujarat,all,Gujarat,2005-06,19602400,9213128,3293203,1921035,2352288,3136384,1528987,657375,22.1,100.0
gujarat,Gujarat,all,Gujarat,2014-15,19602400,9801200,2940360,1921035,2450300,2940360,1528987,621158,61.4,70.5
gujarat,Gujarat,all,Gujarat,2023-24,19602400,10271657,2783540,1921035,2469902,2783540,1528987,627277,92.4,54.8
karnataka,Karnataka,all,Karnataka,2005-06,19179100,9781341,2378208,3854999,1726119,1917910,863059,421940,21.5,100.0
karnataka,Karnataka,all,Karnataka,2014-15,19179100,10164923,1917910,3854999,1783656,1726119,863059,408434,58.6,72.4
karnataka,Karnataka,all,Karnataka,2023-24,19179100,10586863,1649402,3854999,1802835,1649402,863059,421940,86.8,59.1
madhya_pradesh,Madhya Pradesh,all,Madhya Pradesh,2005-06,30825200,13563088,3452422,7737125,1849512,3699024,1572085,745944,19.2,100.0
madhya_pradesh,Madhya Pradesh,all,Madhya Pradesh,2014-15,30825200,14796096,3390772,7737125,1911162,3544898,1572085,725162,64.8,68.9
madhya_pradesh,Madhya Pradesh,all,Madhya Pradesh,2023-24,30825200,15350949,3390772,7737125,1972812,3452422,1572085,749035,93.6,56.2
uttar_pradesh,Uttar Pradesh,agra,Agra,2005-06,404100,278829,36369,28287,38389,10102,8082,4041,12.5,100.0
uttar_pradesh,Uttar Pradesh,agra,Agra,2014-15,404100,274788,28287,29095,48492,12123,7273,4041,44.8,76.4
uttar_pradesh,Uttar Pradesh,agra,Agra,2023-24,404100,269938,21417,30307,62231,12123,5657,2425,81.2,58.1
uttar_pradesh,Uttar Pradesh,lucknow,Lucknow,2005-06,252800,121344,20224,12640,68256,15168,10112,5056,18.4,100.0
uttar_pradesh,Uttar Pradesh,lucknow,Lucknow,2014-15,252800,116288,15168,12640,80896,15168,8848,3792,52.1,72.4
uttar_pradesh,Uttar Pradesh,lucknow,Lucknow,2023-24,252800,108704,12640,12640,96064,12640,7584,2528,84.6,54.8
uttar_pradesh,Uttar Pradesh,kanpur,Kanpur Nagar,2005-06,315500,195610,25240,15775,53635,12620,9465,3155,16.2,100.0
uttar_pradesh,Uttar Pradesh,kanpur,Kanpur Nagar,2014-15,315500,192455,18930,15775,63100,12620,9465,3155,49.5,75.0
uttar_pradesh,Uttar Pradesh,kanpur,Kanpur Nagar,2023-24,315500,186145,15775,15775,75720,11042,7887,2256,80.4,59.2
uttar_pradesh,Uttar Pradesh,varanasi,Varanasi,2005-06,153500,101310,12280,6140,21490,6140,4605,1535,17.0,100.0
uttar_pradesh,Uttar Pradesh,varanasi,Varanasi,2014-15,153500,98240,9210,6140,27630,6140,4605,1535,51.8,74.1
uttar_pradesh,Uttar Pradesh,varanasi,Varanasi,2023-24,153500,92100,7675,6140,36840,5372,3991,1382,82.5,55.4
punjab,Punjab,ludhiana,Ludhiana,2005-06,376000,308320,7520,7520,37600,3760,3760,7520,14.2,100.0
punjab,Punjab,ludhiana,Ludhiana,2014-15,376000,304560,5640,7520,43240,3760,3760,7520,38.5,79.2
punjab,Punjab,ludhiana,Ludhiana,2023-24,376000,300800,3760,7520,50760,3760,3760,5640,64.2,58.8
punjab,Punjab,amritsar,Amritsar,2005-06,268300,225372,5366,5366,21464,2683,2683,5366,13.8,100.0
punjab,Punjab,amritsar,Amritsar,2014-15,268300,222689,4024,5366,26830,2683,2683,4025,36.0,80.4
punjab,Punjab,amritsar,Amritsar,2023-24,268300,220006,2683,5366,32196,2683,2683,2683,61.5,60.2
tamil_nadu,Tamil Nadu,chennai,Chennai,2005-06,42600,3408,1704,2130,23856,4686,5964,852,32.0,100.0
tamil_nadu,Tamil Nadu,chennai,Chennai,2014-15,42600,1704,852,2130,27264,4260,5538,852,74.5,68.2
tamil_nadu,Tamil Nadu,chennai,Chennai,2023-24,42600,852,426,2130,29820,3834,5112,426,96.8,42.5
tamil_nadu,Tamil Nadu,coimbatore,Coimbatore,2005-06,472300,212535,56676,103906,66122,18892,9446,4723,28.4,100.0
tamil_nadu,Tamil Nadu,coimbatore,Coimbatore,2014-15,472300,203089,42507,103906,80291,18892,9446,14169,72.0,66.4
tamil_nadu,Tamil Nadu,coimbatore,Coimbatore,2023-24,472300,198366,33061,103906,94460,18892,9446,14169,93.4,48.0
maharashtra,Maharashtra,pune,Pune,2005-06,1564300,907294,187716,218999,156430,46929,31286,15643,22.0,100.0
maharashtra,Maharashtra,pune,Pune,2014-15,1564300,876008,156430,218999,218999,46929,31286,15643,58.4,74.2
maharashtra,Maharashtra,pune,Pune,2023-24,1564300,829079,125144,218999,297217,46929,31286,15646,88.5,52.4
karnataka,Karnataka,bengaluru_urban,Bengaluru Urban,2005-06,219600,76860,15372,21960,76860,15372,8784,4392,26.5,100.0
karnataka,Karnataka,bengaluru_urban,Bengaluru Urban,2014-15,219600,54900,10980,21960,105408,13176,8784,4392,68.2,64.5
karnataka,Karnataka,bengaluru_urban,Bengaluru Urban,2023-24,219600,32940,6588,21960,136152,10980,8784,2196,91.8,48.2
rajasthan,Rajasthan,jaipur,Jaipur,2005-06,1114300,646294,200574,89144,89144,55715,22286,11143,14.5,100.0
rajasthan,Rajasthan,jaipur,Jaipur,2014-15,1114300,624008,167145,89144,133716,55715,22286,22286,45.0,79.1
rajasthan,Rajasthan,jaipur,Jaipur,2023-24,1114300,601722,133716,89144,189431,55715,22286,22286,76.4,59.0
gujarat,Gujarat,ahmedabad,Ahmedabad,2005-06,870700,531127,104484,26121,130605,52242,17414,8707,26.2,100.0
gujarat,Gujarat,ahmedabad,Ahmedabad,2014-15,870700,504906,87070,26121,165433,52242,17414,17414,68.4,68.0
gujarat,Gujarat,ahmedabad,Ahmedabad,2023-24,870700,470178,69656,26121,217675,52242,17414,17414,94.2,49.5
madhya_pradesh,Madhya Pradesh,bhopal,Bhopal,2005-06,277200,144144,33264,30492,38808,16632,11088,2772,21.0,100.0
madhya_pradesh,Madhya Pradesh,bhopal,Bhopal,2014-15,277200,138600,27720,30492,49896,16632,11088,2772,66.8,69.5
madhya_pradesh,Madhya Pradesh,bhopal,Bhopal,2023-24,277200,130284,22176,30492,66528,13860,11088,2772,95.1,51.8
